四字熟語,読み,意味,漢検配当級
結縁灌頂,けちえんかんじょう,多くの人々に仏道との縁を結ばせるために行う儀式。 「灌頂」は頭に水を注ぎかける儀式で、仏道との縁を結ばせたり、僧侶が高い地位にのぼるときに行う密教の儀式。,1級
血脈相承,けちみゃくそうじょう,師から弟子へと、仏の教えを受け継いで伝えていくこと。 仏教の言葉で、父親から子へと血を受け継いでいくことにたとえた言葉。,1級
結縄之政,けつじょうのまつりごと,古代に行われた政治のこと。 文字が存在しなかった時代の政治を行う上での意志の伝達や記録の方法で、大事には大きな縄の結び目を結び、小事には小さな縄の結び目を結んだということから。,1級
牽衣頓足,けんいとんそく,つらい別れを惜しむことを言い表す言葉。 「牽衣」はしがみついて服を引っ張ること。 「頓足」は足踏みをすること。 戦地に行くことになった兵士の家族が衣服にしがみつき、足をばたばたさせて悲しむ様子を言い表した言葉。 「衣を牽き足を頓す」とも読む。,1級
懸崖撒手,けんがいさっしゅ,勇気を出して思い切って物事を行うこと。 または、一度死んで生き返ること。 「懸崖」は険しい崖、「撒手」はつかんでいるものを離すこと。 もとは仏教の言葉で、険しい崖から手を離すという意味で、それまでの考えを全て捨てて、心を無にして修行し、真の命をつかむことをいう。 「懸崖に手を撒つ」とも読む。,1級
懸河之弁,けんがのべん,つまることなく、流れるような弁舌のこと。 「懸河」は傾斜が激しい流れの速い川。 止まることがなく、勢いよく流れる川のような弁舌という意味から。,1級
牽強附会,けんきょうふかい,自分に都合がいいように、滅茶苦茶な理屈をこじつけること。 「牽強」は道理に合わないことを合っているかのようにいうこと。 「附会」は無理に関連付けたり一つに合わせたりすること。 どちらも理屈をこじつけるという意味。 「牽強付会」とも、「牽強傅会」とも書く。,1級
剣戟森森,けんげきしんしん,恐ろしくなるような厳しく激しい性格のこと。 「剣戟」は剣と矛ということから、武器のこと。 「森森」は数多く立ち並んでいる様子。 多くの武器が立ち並んでいる様子を性格にたとえた言葉。,1級
捲土重来,けんどちょうらい,敗北や失敗によって一度は落ちた勢いを、再び取り戻して反撃することのたとえ。 一度静まった土煙が、再び巻き上げられるという意味から。 「捲土」は土煙が舞い上がる様子のことから、勢いが激しいことのたとえ。 「重来」は去ったものが、もう一度やって来ること。 「巻土重来」とも書く。,1級
犬馬之歯,けんばのよわい,自分の年齢を謙遜していう言葉。 「歯」は年齢のこと。 動物の犬や馬のように、大きな功績を残すこともなく、無駄に歳をとったということから。,1級
犬馬之労,けんばのろう,君主や他人のために出来る限りのことをすること。 自分の労力を謙遜していう言葉で、犬や馬程度の働きという意味から。 中国の三国時代、諸葛亮が劉備に出仕を承諾した故事から。,1級
堅牢堅固,けんろうけんご,守りが非常に固くて、容易に破れたり壊れたりしないこと。 または、極めて丈夫なこと。 「堅牢」と「堅固」はどちらも非常に硬いという意味で、同じ意味の言葉を重ねて強調した言葉。,1級
懸腕枕腕,けんわんちんわん,書道の基本的な筆の使い方のこと。 懸腕法と枕腕法のこと。 懸腕法は、姿勢を整えて、肘を脇から離して腕を水平に上げ、筆を垂直に持つ書き方。 枕腕法は、紙の上に左の手のひらを伏せて、左の手を右の手の枕のようにして構える書き方。,1級
撃壌之歌,げきじょうのうた,古代中国の伝説の聖天子である尭帝が国を治めている時代に、世の中が平和であることを喜び、人々が歌った歌のこと。 「撃壌」は足で地面を踏み、音を鳴らして拍子をとること。,1級
月卿雲客,げっけいうんかく,公卿と殿上人のこと。 または、高い身分の人のこと。 「月卿」は三位以上の公卿。 「雲客」は宮中での昇殿を許された雲上人、殿上人。 古代中国では宮中を天にたとえ、日を天子に、月を臣下にたとえていたということから。,1級
元亨利貞,げんこうりてい,易経で乾の卦のもつ四つの徳のこと。 「元」は全てのものが生まれる根源。 「亨」は全てのものが成長すること。 「利」は開花すること。 「貞」は実を結ぶこと。 天の四つの徳として春夏秋冬、仁礼儀智に配したもの。 易経の占いの結果で、積極的に徳を積み、正しい操を守れば、全てのことは上手くいくという意味。 「元いに亨る、貞しきに利ろし」とも読む。,1級
玄裳縞衣,げんしょうこうい,鶴の別称。 「玄」は黒い色、「縞」は白い色。 「玄裳」は黒い着物のすそ。 「縞衣」は白い上着。 鳥の鶴の姿を黒い着物と白い上着を着ている姿にたとえた言葉。,1級
玄圃積玉,げんぽせきぎょく,美しい文章のたとえ。 「玄圃」は中国の霊山、崑崙山の仙人が住んでいるとされているところ。 「積玉」は積み重なっている宝石。 たくさんの宝石のように美しいという意味から。,1級
彦倫鶴怨,げんりんかくえん,偽善者を批判する言葉。 「彦倫」は中国の南斉の人の名前。 俗世を離れて鐘山に隠遁していた彦倫が、俗世に戻って県の長官になったことを隠者だと信じていた鶴も騙されたと怨むと、孔稚珪が似非隠者ぶりを批判した言葉から。,1級
挙一明三,こいちみょうさん,理解力が非常にすぐれていること。 仏教の言葉で、四角の一隅を挙げれば、残りの三隅を悟るということから。 「一を挙げて三を明らかにす」とも読む。,1級
光陰如箭,こういんじょぜん,月日が過ぎるのは速いということ。 「光陰」は太陽と月、昼や夜や月日などの時間のこと。 「箭」は弓矢の矢のこと。 時間は矢のように過ぎ去ってしまうという意味。 「光陰箭の如し」とも読む。,1級
光焔万丈,こうえんばんじょう,議論や詩文などの勢いが激しく、素晴らしいことのたとえ。 「光焔」は燃え上がり輝く炎。 「万丈」はこの上なく長いこと。 炎が勢いよくどこまでも燃え上がるという意味から。,1級
口角飛沫,こうかくひまつ,口の端からつばを飛ばすほどの激しい議論のこと。,1級
膏火自煎,こうかじせん,才能や財産があると、逆に災いを招くことのたとえ。 「膏」はあぶら、「煎」は焼くや炒ることで、あぶらは燃えて辺りを照らすが、あぶら自体は燃え尽きてしまうことから。,1級
鴻雁哀鳴,こうがんあいめい,離散してさまよう民が、苦労や窮状を訴えることのたとえ。 鴻と雁を流浪の民をたとえたもの。,1級
紅顔可憐,こうがんかれん,時の流れは無常だということ。 「紅顔」は血色のよい若い青年、「可憐」は「あわれむべし」となって、気の毒ということ。 青年が時とともに老いたことを憐れに思い、同情せずにいられないという意味。,1級
光輝燦然,こうきさんぜん,強く鮮やかに光り輝くこと。 「光輝」は光と輝き。 「燦然」は鮮やかに光り輝くこと。,1級
綱紀廃弛,こうきはいし,国家や社会の法律や秩序が廃れてゆるむこと。 「綱紀」は大づなと小づなのことで国家を治める大法と細則。 「廃弛」は廃れてゆるむということ。,1級
綱挙網疏,こうきょもうそ,細かいことにこだわらずに、根本をつかむことに力を入れること。または、巨悪の根源を挙げるために、小さな悪を許し見逃すこと。 「綱」は網のもとづな、「網疏」は網目が粗い網のこと。,1級
高軒寵過,こうけんちょうか,身分の高い人が訪ねてくること。 「高軒」は他人の車の敬称で、立派な車という意味。 「寵過」は名誉ある来訪という意味。 中唐の詩人、李賀の文才を伝え聞いた韓愈と皇甫湜が訪ねると、七歳だった李賀がその場で「高軒過」と題した詩を作ったという故事から。,1級
鴻鵠之志,こうこくのこころざし,非常に大きな目標。大志。 「鴻」はおおとり、「鵠」はくぐいのことで、白鳥の古名。 どちらも大きな鳥のことで、英雄や豪傑などの偉大な人物のたとえ。 中国の秦の時代、日雇い労働をしていた陳勝が「互いに金持ちになっても忘れずにいよう」と仲間に言い、それを聞いた雇い主が「日雇いの分際で何を言っているんだ」と嘲笑した。 陳勝は「燕雀安くんぞ鴻鵠の志を知らんや」と嘆き、後に秦に反乱を起こして王になったという故事から。 「燕雀安くんぞ鴻鵠の志を知らんや」を略した言葉。,1級
後顧之憂,こうこのうれい,物事が終わったあとに残っている心配事。後日のことを心配すること。 「後顧」は後ろを振り返るという意味から、あとに残る思いという意味。 「後顧之思」とも書く。,1級
黄裳元吉,こうしょうげんきつ,忠義を尽くす家臣が主家に仕えると、必ずよい結果をもたらすということ。 易経の言葉で、「黄裳」は黄色のもすそのことで、「黄」は五行で中心の色とされ、天子などの高貴なものの象徴で、もすそは家臣をたとえたもの。 「元吉」は大吉のこと。 「黄裳は元吉なり」とも読む。,1級
鉤心闘角,こうしんとうかく,高さのある建物が密集していて、数多く建っている様子。 または、知恵を振り絞って争いをすること。 「鉤心」は車軸ということから、屋根の中心が集まっているところをいう。 「闘角」は角を突き合わせて戦うこと。 そりかえっている屋根の中心が集まって、とがった軒先が角を突き合わせて闘っているように見えるという意味から。,1級
口耳之学,こうじのがく,底の浅い学問や知識のこと。 聞いたことの意味をよく考えることもせず、そのまま人に伝えるだけの浅い学問という意味から。,1級
鉤縄規矩,こうじょうきく,物事の法則や基準になるもののこと。 「鉤」は曲線を引く時に使う道具。 「縄」は直線を引く時に使う道具。 「規」は円を描く時に使う道具。 「矩」は直角を描く時に使う道具。 どれも正確に線を引くことが出来るものということから。,1級
黄塵万丈,こうじんばんじょう,風に吹かれて空高くまで黄色い土煙が舞い上がること。 「黄塵」は土煙のこと。 「万丈」の「丈」は長さの単位のことで、「万丈」は長さが非常に長いことのたとえ。,1級
浩然之気,こうぜんのき,ゆったりとした壮大な気持ち。 天地に恥じることのない道義にかなった行動をすることで、心に自然と生まれてくる強い精神のこと。 「浩然」は広くて大きいこと。,1級
宏大無辺,こうだいむへん,果てがないほど、広々としていること。 「宏大」は広くて大きいこと、「無辺」は果てがないこと。 「広大無辺」「洪大無辺」とも書く。,1級
孝悌忠信,こうていちゅうしん,誠意を込めて親や目上の人に仕えること。 「孝悌」は両親や目上の人にしっかりと仕えること。 「忠信」は誠意をもって、決して欺かないこと。 儒教の四つの徳目。 「孝弟忠信」とも書く。,1級
侯覇臥轍,こうはがてつ,善政を行った立派な人物の留任を願って、引き止めること。 「侯覇」は中国の後漢の人の名前。 「臥轍」は車の通り道で、人が伏して通れなくすること。 長官として善政を行った侯覇が、天子の命で都に帰ることになったが、人々が道に伏して通れなくして留任を請うたという故事から。,1級
黄髪番番,こうはつはは,白髪が黄色がかるほどに歳老いた老人のこと。 知識や経験を重ねた老人をいう言葉。 「黄髪」は黄色がかった白髪ということから、老人のたとえ。 「番番」は白髪のこと。,1級
香美脆味,こうびぜいみ,極めて贅沢な食事のこと。 「香美」は香辛料のきいた、よい香りのする料理。 「脆味」は柔らかい菓子。,1級
紅粉青蛾,こうふんせいが,美人を言い表す言葉。 または、美しい化粧のこと。 「紅粉」は口紅と白粉のこと。 「青蛾」は眉を蛾の触角のように、細長く三日月の形で青い色で描くこと。,1級
高鳳漂麦,こうほうひょうばく,心を込めて学問に取り組むこと。 「高鳳」は中国の後漢の人の名前。 高鳳は妻に干した麦の番をするように頼まれたが、読書に夢中になり、雨が降って麦が流されたことに気がつかなかったという故事から。,1級
黄茅白葦,こうぼうはくい,荒れ果てて痩せた土地のこと。 「茅」は植物のかやのこと。 「葦」は植物のあしのこと。 茅と葦は、どちらも荒れて痩せた土地でも生える植物で、茅と葦しか生えていなくて黄色や白に見えるという意味から。,1級
孔明臥竜,こうめいがりょう,まだ世間に知られていない、素晴らしい才能をもつ人のたとえ。 「孔明」は中国の三国時代の蜀の宰相、諸葛亮のこと。 「臥竜」は川などの深いところに隠れている竜のこと。 中国の三国時代の蜀の徐庶は、劉備に諸葛亮を推挙したという故事から。,1級
紅毛碧眼,こうもうへきがん,西洋人のこと。 「紅毛」は赤い髪の毛。 「碧眼」はあおみどり色の目のこと。 江戸時代にはスペイン人やポルトガル人のことを南蛮人と呼び、オランダ人を紅毛人と分けて呼んでいたが、のちに西洋人全般をさすようになった言葉。,1級
孔孟老荘,こうもうろうそう,古代中国の四人の思想家をまとめていう言葉。 儒家の孔子と孟子、道家の老子と荘子のことをいう。,1級
鴻門之会,こうもんのかい,古代中国の漢の劉邦と楚の項羽が鴻門で会談したこと。 この会談で項羽は劉邦を殺そうとしたが、劉邦の家臣が見破って劉邦は逃げ延びた。 その後、項羽は劉邦に敗北して自決したという故事から。,1級
鴻門玉斗,こうもんのぎょくと,中国の漢の劉邦が、鴻門の会で楚の項羽の家臣である范増に贈った、翡翠でできたひしゃくのこと。 劉邦と項羽が鴻門で会見した際、項羽の家臣である范増は、項羽に劉邦を殺すように進言したが、項羽は劉邦を討ちもらした。 それを知った范増は、激怒して悔しがり、劉邦から贈られた翡翠のひしゃくを剣で打ち砕いたという故事から。,1級
衡陽雁断,こうようがんだん,便りがなくなること。 「衡陽」は中国の山の衡山の南のこと。 衡山には回雁峰と呼ばれる険しい峰があり、雁は南へ行こうとしても、これを越えることができず、北に戻っていくということから。 「衡陽雁断ゆ」とも読む。,1級
光禄池台,こうろくのちだい,非常に豪華で、素晴らしい屋敷のこと。 「光禄」は中国の高級官僚の役職の光禄勲のこと。 「池台」は庭にある池の中に建っている建物のこと。 中国の前漢の時代、光禄勲の長官だった王根の屋敷が極めて立派だったということから。,1級
甲論乙駁,こうろんおつばく,議論の結論が出ないこと。 「論」は意見を出すこと。 「駁」は反対の意見を出すこと。 「甲」が意見を出すと「乙」が反対の意見を出すということから、互いに意見を出したり反論したりするだけで、いつまでも結論が出ないという意味。,1級
孤雲野鶴,こうんやかく,世間から離れた隠者のたとえ。 「孤雲」は離れて浮かんでいる雲。 「野鶴」は群れから離れて野に住んでいる鶴。 どちらも隠者をたとえた言葉。,1級
狐仮虎威,こかこい,他人の力を自分の力のように使って、好き勝手に振る舞うこと。 虎に捕まって食べられそうになった狐は、天帝から百獣の王になるように命じられた、後ろをついてくればわかるといい、周りの獣は狐の後ろにいる虎に恐れて逃げ出した。 虎は狐に恐れたと思い、狐の言うことを信じたという説話から。 「狐、虎の威を仮る」とも読み、「虎の威を借る狐」という形で使うことが多い言葉。,1級
鵠面鳥形,こくめんちょうけい,飢えと疲労で痩せ細って、衰えている様子。 「鵠面」は鳥の白鳥のように痩せ細った顔のこと。 「鳥形」は鳥のように痩せ細っていること。,1級
股肱之臣,ここうのしん,君主の信頼できる家臣。 または、そのような部下のこと。 「股」は足のもも。 「肱」は腕のひじ。 どちらも人が動くために大切な部分ということから、なくてはならない大切なものをいう。,1級
狐死首丘,こししゅきゅう,生まれ育った地を忘れないことのたとえ。 または、物事の根本を忘れないことのたとえ。 狐は、死ぬときに生まれ育った丘に頭を向けて死ぬということから。 「狐死して丘に首す」とも読む。,1級
古色蒼然,こしょくそうぜん,とても古びている様子。 または、古びていて趣のあること。 「古色」は古くなったことで出る独特の色合いのこと。 「蒼然」は古びて、色が薄くなったり変わったりしていること。,1級
胡説乱道,こせつらんどう,辻褄が合わないでたらめな議論や言葉。 「胡説」はでたらめな議論。 「乱道」はいい加減なことを言うこと。または、そのようなことを言って道理を乱すこと。,1級
胡孫入袋,こそんにゅうたい,民間にいた人が、公職についたために自由が無くなること。 または、物事を自由に行えないこと。 「胡孫」は動物の猿の別称。 猿が袋の中に入れられるという意味から。 「胡孫袋に入る」とも読む。,1級
胡蝶之夢,こちょうのゆめ,自分とものとの区別がなくなって、全てのものが一つのものとする万物一体の境地のこと。または、人の生がはかないことのたとえ。または、夢と現実の境がはっきりと区別できなくなること。 荘子が胡蝶になって遊ぶ夢をみて、目が覚めると夢で胡蝶になったのか、胡蝶が夢をみて自分になったのかわからなくなったという故事から。,1級
国君含垢,こっくんがんこう,君主は将来のことを考えて、一時的な恥は耐えるべきであるという教え。 または、君主には臣下の失敗を許す度量が必要であるという教え。 「垢」は垢、汚れという意味から、恥や失敗のたとえ。 「国君垢を含む」とも読む。,1級
胡馬北風,こばほくふう,故郷を懐かしむことのたとえ。 「胡馬」は中国の北の胡の国で生産された馬のこと。 胡馬は、北風が吹くとどこにいても風に身をまかせて、故郷を懐かしむということから。,1級
枯木寒巌,こぼくかんがん,世俗を超えた悟りの境地のこと。 または、冷淡で付き合いにくい態度のこと。 「巌」は岩のこと。 枯れた木と冷たい岩のことで、禅宗で情念や煩悩を捨て去った悟りの境地をいう。,1級
枯木竜吟,こぼくりょうぎん,一度衰えたものが回復する。 または、苦しい状況を抜け出して生を得ること。 または、ありえないことが実現することのたとえ。 禅宗の言葉で、枯れているように見える木が風に吹かれると、竜が声を発するような勢いで音が鳴るという意味から。,1級
狐狸妖怪,こりようかい,人を騙したり、恐れさせたりする化け物のこと。 または、人知れず悪事を働くもののこと。 「狐狸」は人を騙すとされている狐と狸のことで、悪賢く信用できない人のたとえ。 「妖怪」は化け物のこと。,1級
金剛不壊,こんごうふえ,並外れて固く、決して壊れないこと。 または、非常に意志が固いこと。 「金剛」は「堅固」という意味の梵語を、漢語に翻訳した言葉。,1級
今昔之感,こんじゃくのかん,昔のことを思い出して、現在との時世や環境の大きな変化に深く感心すること。,1級
剛毅果断,ごうきかだん,意志が固く、思い切った決断と行動をすること。 「剛毅」は意志が非常に固いこと。 「果断」は大胆な決断と行動をすること。,1級
剛毅直諒,ごうきちょくりょう,裏表がなく誠実で意志が固いこと。 「剛毅」は意志が固いこと。 「直諒」は正直で誠実なこと。,1級
五陰盛苦,ごおんじょうく,人の体と心を構成している五つの要素から生まれる苦しみのこと。 「五陰」は人の体と精神を構成する五つの要素のこと。 全ての物質をいう「色」、感覚をいう「受」、心の中に浮かぶ像をいう「想」、欲求をいう「行」、意識をいう「識」の五つ。 仏教の言葉で、八苦のうちの一つ。,1級
呉下阿蒙,ごかのあもう,昔から全く進歩しない人のたとえ。または、学問や知識がない人のたとえ。 「呉下」は呉の国にいること。 「阿」は親しみを込めて人の名前の前につける言葉。 「蒙」は人の名前。 呉の国にいる蒙さんという意味から。 中国の三国時代、呉の魯粛が呂蒙と久しぶりに会うと、以前とは違って学識が非常に深くなっていて驚いたという故事から。,1級
五穀豊穣,ごこくほうじょう,穀物が充分に実ること。 「五穀」は米、麦、粟、豆に黍または稗を加えた５つのことで、人間が主食とする五種類の代表的な穀物のこと。 または、具体的な穀物名を指さずに穀物の総称という意味で用いられることもある。 「豊穣」は穀物が充分に実ること。,1級
後生菩提,ごしょうぼだい,来世に極楽に生まれ変わること。 または、来世に生まれ変わって悟りを得ること。 「後生」は現世での死後に、来世に生まれ変わること。 「菩提」は悟りの境地のこと。,1級
五盛陰苦,ごじょうおんく,人の体と心を構成している五つの要素から生まれる苦しみのこと。 「五」「陰」は人の体と精神を構成する五つの要素のこと。 全ての物質をいう「色」、感覚をいう「受」、心の中に浮かぶ像をいう「想」、欲求をいう「行」、意識をいう「識」の五つ。 仏教の言葉で、八苦のうちの一つ。,1級
五濁悪世,ごじょくあくせ,末世のこと。 仏教の言葉で、五つの汚れに満ち溢れた世界ということから。 「五濁」は劫濁、見濁、煩悩濁、衆生濁、命濁という、この世に表れるとされる五つの汚れのこと。,1級
梧鼠之技,ごそのぎ,様々な技能をもっているが極めている技能がないこと。または、役に立つ技能が一つとしてないこと。 「梧鼠」はむささびのことで、飛ぶ、木に登る、泳ぐ、穴を掘る、走るという五つのスキルがあるが、どれも極めてはいないことから。,1級
梧桐一葉,ごどういちよう,物事が衰える前兆のこと。 「梧桐」は植物のあおぎりのこと。 あおぎりは他の木よりも早く葉が落ちるとされ、あおぎりの葉が一枚落ちるのを見て、秋が来ることを知るという意味から。,1級
欣求浄土,ごんぐじょうど,死んだ後に極楽浄土に往生できるように願うこと。 「欣求」は心から願って喜ぶこと。 「浄土」は苦しみのない極楽浄土を略した言葉。 浄土宗や浄土真宗の基本的な思想をいう。,1級
言語道断,ごんごどうだん,言葉で言い表すことができないほどひどいこと。 とんでもないこと。 「言語」は言葉に出して表現すること。 「道断」は言うことが断たれること。 「道」は言葉で言い表すという意味。 元は仏教語で、仏教の真理や悟りの境地は、言葉で言い表して説明することは出来ないという意味。 現在では悪い意味で使われることが多い言葉。,1級
採菓汲水,さいかきっすい,仏に供えるために木の実を採ったり水を汲むなど、仏道修行に努めること。 「菓」は木の実のこと。,1級
歳寒松柏,さいかんしょうはく,逆境で苦しい状況でも、信念や志を貫くことのたとえ。 「歳寒」は季節の冬。または逆境や苦難という意味。 松や柏などの常緑樹は寒い季節でも緑の葉をつけていることから。,1級
歳寒松柏,さいかんのしょうはく,逆境で苦しい状況でも、信念や志を貫くことのたとえ。 「歳寒」は季節の冬。または逆境や苦難という意味。 松や柏などの常緑樹は寒い季節でも緑の葉をつけていることから。,1級
採薪汲水,さいしんきゅうすい,自然の中で質素な生活をすること。 山で薪を採り、川の水を汲むという意味から。,1級
採薪之憂,さいしんのうれい,病気を患っていることを相手にへりくだっていう言葉。 病気で、薪を採りにいくことすらできないという意味から。,1級
左支右吾,さしゆうご,様々な手段を用いて危険を防ぐこと。または、左右のどちらにも差支えがあること。あれこれ言い逃れをして危険を回避しようとすること。 左を支えて、右を防ぐという意味から。,1級
三顧之礼,さんこのれい,立場が上の人が礼を尽くして、すぐれた才能を持つ人を招くこと。 または、立場が上の人が立場が下の人に礼を尽くして、仕事を依頼すること。 「三顧」は三回訪問すること。 古代中国の三国時代、蜀の皇帝劉備が諸葛亮を迎え入れるために住居を三回訪問したという故事から。,1級
三枝之礼,さんしのれい,両親に礼儀を尽くし、両親への孝行を重んじること。 鳩の子どもは、親の鳩がとまっている木の枝の三本下の枝にとまるという意味から。,1級
三者鼎談,さんしゃていだん,三人で向かい合って話し合うこと。 三人が話し合うことを「鼎」にたとえた言葉。 「鼎」は物を煮たり、祭器として使われる底の深い器で、足が三本あるということから。,1級
三者鼎立,さんしゃていりつ,同じ力を持っている三人が並び立つこと。 または、同じ力を持つ三つの勢力が争いあう、三すくみの状態のこと。 三人が並び立つことを「鼎」にたとえた言葉。 「鼎」は物を煮たり、祭器として使われる底の深い器で、足が三本で均衡を保って安定して立っているということから。,1級
三十而立,さんじゅうじりつ,三十歳になって、自分の中の道徳観や学識が確立して、それが自信になって思想が固まること。 孔子が自身の生涯を振り返って言った言葉。 三十歳の異名の「而立」の語源。 「三十にして立つ」とも読む。,1級
三牲之養,さんせいのよう,親に食事をご馳走して孝行すること。 「三牲」は牛、羊、豚の三種類のいけにえということから、ごちそうのたとえ。 「養」は親を養うこと。,1級
三尺童子,さんせきのどうじ,七、八歳の子どものこと。 「三尺」の「尺」は長さの単位で、「三尺」は身長が低いことのたとえ。 身長が低い子どもということから。 または、「一尺」は二歳半として数え、「三尺」で七、八歳とするという説もある。,1級
山藪蔵疾,さんそうぞうしつ,大きな事を成す人物は、どんな人でも包みいれる器量があるということのたとえ。 または、どんなすぐれた人物でも一つくらい弱点があるということ。 「山藪」は山と藪のことで、立派な人物のたとえ。 「蔵」は隠すや、しまい込むということ。 「疾」は害になるものという意味から、虫や毒蛇のこと。 山や藪は害虫や毒蛇ですら隠し包み込むという意味から。 中国の春秋時代、晋の景公が宋に救援を出そうとしたときに、伯宋がそれを諫めたという故事から。 「山藪疾を蔵す」とも読む。,1級
三諦円融,さんだいえんにゅう,仏教の言葉で、空、仮、中の三つの真理がそれぞれの立場を保ちながらも、互いに溶け合っている状態が同時に成り立っていること。 「三諦」は空、仮、中の三つの真理のこと。 「円融」はお互いに融合しているが、それぞれ立場を保ちつつ妨げになっていないこと。 天台宗が説く三つの真理のことで、全てのものには実体が存在しないという「空」と、全てのものは因縁によって存在するという「仮」と、それら二つを超越して存在しているという「中」のことをいう。,1級
参天弐地,さんてんじち,天や地のように大きな徳を積むこと。 「参天」は天と並ぶこと。 「弐地」は地と並ぶこと。 「天に参じ地に弐す」とも読む。,1級
山濤識量,さんとうしきりょう,すぐれた判断力や考え、器量をもっている人のこと。 「山濤」は人の名前。 「識量」は知識や器量のこと。 竹林の七賢と呼ばれる賢者の一人である、山濤のようにすぐれた知識と器量があるということから。,1級
三分鼎足,さんぶんていそく,力が同じものが三人並び立つこと。 または、同じ力を持つ勢力が並び立つこと。 三人が並び立つことを「鼎」にたとえた言葉。 「鼎」は食べ物を煮たり、祭器として使われる三本足の器。,1級
山礪河帯,さんれいかたい,永久に変わらないかたい誓約のこと。 または、国が平和で栄え続けること。 「山」は泰山、「礪」は砥石、「河」は黄河のことで、広い黄河が帯のように細くなっても、高い泰山がすりへって砥石のように平になっても、長く変わることがないという意味から。,1級
坐臥行歩,ざがこうほ,日常的に行う動作の体の動かし方のこと。 「坐」は座ること、「臥」は寝ること、「行歩」は歩くという意味から。,1級
坐作進退,ざさしんたい,日常生活で行う動作の体の動かし方。立ち居振る舞い。 「坐」は座る、「作」は立つ、「進」は進む、「退」は退く。 日常生活で行う基本的な動作を並べた言葉。 「座作進退」とも書く。,1級
座薪懸胆,ざしんけんたん,目的を果たすために、苦難に耐えて機会を待つこと。 「座薪」は固い薪の上に座ること、「懸胆」は枕元に苦い肝を懸けて、寝起きになめること。 あえて固い薪の上に座り、寝起きに苦い肝をなめることで、復讐心を忘れないようにしつつ、わき立たせるという意味から。,1級
斬衰斉衰,ざんさいしさい,親しい関係の人の死んだ時に使う喪服。 「斬衰」は縁を縫っていない喪服で、君主や父親が死んだ時に使う、最も重い三年の喪の期間に着る服。 「斉衰」は縁を縫っている喪服で、母親や妻が死んだ時に使う、二番目に重い一年の喪の期間に着る服。,1級
残息奄奄,ざんそくえんえん,どうにか呼吸が出来ているような、死んでしまいそうな状態のこと。 または、そのような状態のことから、広く色々なことが滅びてしまいそうな苦しい状況のこと。 「残息」は呼吸のこと。 「奄」は覆うやふさぐという意味で、「奄奄」は呼吸が止まってしまいそうな状態ということから、弱々しい状態のこと。 「残息奄々」とも書く。,1級
紫幹翠葉,しかんすいよう,山の木々がみずみずしく青々としていて美しい様子。 「紫幹」は暗褐色の幹、「翠葉」は緑色の木の葉のこと。 「紫翠」と略すこともある。,1級
只管打坐,しかんたざ,雑念を捨ててわきめもふらず座禅を組むこと。 「只管」はひたすら、一心に。 「打坐」は座禅をすること。,1級
史魚屍諫,しぎょしかん,史魚が自らの死体を使い主君をいさめたという中国の故事。 「史魚」は人物の名前。 「屍諫」は死体を使いいさめるという意味。 人事に関して、主君をいさめたが聞き入れられなかったのを悔いて、子に自らが死んだら死体を窓の下に放り出しておけと命じた。 死後、主君が死体の理由を聞き、聞き入れなかったのは過ちだったと認め、生前の史魚の進言にそった人事を行った故事から。,1級
四弘誓願,しぐぜいがん,仏になろうとする修行者や菩薩が願いかなえると誓う四つのこと。 あらゆる生き物の苦しみを無くす誓願、衆生無辺誓願度。 尽きない煩悩を全て断つ誓願、煩悩無尽誓願断。 全ての法門を学び尽くす誓願、法門無量誓願学。 仏道の最高の悟りを得て成仏する誓願、仏道無上誓願成。,1級
屍山血河,しざんけつが,この上なく激しい戦闘のこと。 または、その惨状のこと。 「屍山」は死体の山、「血河」は血の河のことで、激しい惨状の様子。,1級
獅子身中,しししんちゅう,獅子の体内に寄生する虫が獅子を死なせることから、組織や集団の内部から災いをもたらすこと。,1級
獅子奮迅,ししふんじん,ライオンが奮い立つように激しい勢いで活動することやその様子のこと。 「獅子」はライオンのこと。 「奮迅」は激しく奮い立つ様子。,1級
梓匠輪輿,ししょうりんよ,「梓」は家具職人、「匠」は大工、「輪」は車輪を作る職人、「輿」は車台を作る職人のことで、これらの総称。,1級
死屍累累,ししるいるい,死体が当たり一面に積み重なり、むごたらしい様子。 「死屍」は死体、亡骸。 「累累」はあたり一面に積み重なっている様子。,1級
自然淘汰,しぜんとうた,適したものだけが自然に選ばれて生き残り、劣っているものは滅びていくこと。 ダーウィンが進化論で用いた言葉。 「淘汰」は劣っているものを選び、取り除くこと。,1級
四塞之国,しそくのくに,攻めにくく守りやすい四方を山や川に囲まれた地勢の国のこと。,1級
七十古稀,しちじゅうこき,昔から七十歳まで生きることが出来る人は稀だということ。 杜甫の詩の「人生七十古来稀なり」という一節に由来して、七十歳を「古稀」と呼ぶようになった。,1級
七顛八倒,しちてんばっとう,激しい苦痛に苦しみもだえること。 「七」や「八」は程度が甚だしいことのたとえで、何度も転がって何度も倒れるという意味から。 「七転八倒」とも書く。,1級
七堂伽藍,しちどうがらん,寺の主な七つの堂の総称。または、七つの堂の揃っている寺のこと。 「七堂」は、時代や宗派により異なるが、金堂、塔、講堂、鐘楼、経蔵、僧房、食堂のこと。 「伽藍」は寺の建物のこと。,1級
